id,name,slug,access_url,primary_category,visibility,brand_alignment,related_brand,use_case,recommended_library_status
offer-ecosystem-architect,Offer Ecosystem Architect,offer-ecosystem-architect,https://chatgpt.com/g/g-69de2dcbfe208191963678cbefa77acb-offer-ecosystem-architect,AI Automation Agency,public,Juliet Foxtrot Ventures,Juliet Foxtrot Ventures,Offer architecture and monetization planning,promote
siteforge-operator,SiteForge Operator,siteforge-operator,https://chatgpt.com/g/g-698ea9b3d5d88191aa11946cbbdc727d-siteforge-operator,"Web, Vercel + App Builder",public,AIBuiltThat.ai,AIBuiltThat.ai,Generate Vercel-ready website repos,promote
brand-os-operator,Brand OS Operator,brand-os-operator,https://chatgpt.com/g/g-6970ff5094cc819196ae4851090cc698-brand-os-operator,Personal Brand / Thought Leadership,public,Personal Brand,Personal Brand,Brand OS and funnel planning,promote
game-plan-wizard,Game Plan Wizard,game-plan-wizard,https://chatgpt.com/g/g-69548413b088819191fabdfeb2429174-game-plan-wizard,Affiliate Partner Enablement,partner-facing,Moonshine Capital,Moonshine Capital,Partner income planning,partner-facing
vercel-launch-smith,Vercel Launch Smith,vercel-launch-smith,https://chatgpt.com/g/g-69481ddcf79c8191b532ef06e5c67ab8-vercel-launch-smith,"Web, Vercel + App Builder",public,AIBuiltThat.ai,AIBuiltThat.ai,Vercel launch support,promote
funding-pathfinder,Funding Pathfinder,funding-pathfinder,https://chatgpt.com/g/g-6876b717ca808191aea5343f89c670e3-funding-pathfinder,Funding + Finance,internal-only,Moonshine Capital,Moonshine Capital,Funding intake and route planning,internal-only
get-my-funding-offer,Get My Funding Offer,get-my-funding-offer,https://chatgpt.com/g/g-6876b24050208191948c872fb36dd3b1-get-my-funding-offer,Funding + Finance,internal-only,Moonshine Capital,Moonshine Capital,Funding qualification and pre-screening,internal-only
bizcredit-builder-gpt,BizCredit Builder GPT,bizcredit-builder-gpt,https://chatgpt.com/g/g-6836dda9d7e881918dd6018226121e03-bizcredit-builder-gpt,Business Credit / FinanceOS / BizCredit OS,public,BizCredit OS,BizCredit OS,Business credit roadmap,promote
business-banker-gpt,Business Banker GPT,business-banker-gpt,https://chatgpt.com/g/g-6836cbfa2f8481918fd90ffc89cf563d-business-banker-gpt,Business Credit / FinanceOS / BizCredit OS,public,BizCredit OS,BizCredit OS,Business banking stack planning,promote
cashflow-copilot,Cashflow Copilot,cashflow-copilot,https://chatgpt.com/g/g-68769106cf988191bcc45c69e50038a2-cashflow-copilot,Business Credit / FinanceOS / BizCredit OS,public,BizCredit OS,BizCredit OS,Cash-flow audit,promote
harper-hubspot-api-architect,Harper — HubSpot API Architect,harper-hubspot-api-architect,https://chatgpt.com/g/g-689caca104ec8191a731c101eba14f31-harper-hubspot-api-architect,"CRM, Ops + Automation",internal-only,Moonshine Capital,Moonshine Capital,HubSpot API and CRM data operations,internal-only
detailed-keyword-analysis-seo,Detailed Keyword Analysis (SEO),detailed-keyword-analysis-seo,https://chatgpt.com/g/g-688f3b6ae0808191925f294777aa947d-detailed-keyword-analysis-seo,"Content, SEO, Blog + Media",public,Full-Time Hustler,Full-Time Hustler,SEO cluster strategy,promote
zenseo-article-writer,ZenSEO Article Writer,zenseo-article-writer,https://chatgpt.com/g/g-6871e3b4627c81919fc968dbf25c3237-zenseo-article-writer,"Content, SEO, Blog + Media",public,Full-Time Hustler,Full-Time Hustler,SEO blog drafting,promote
ai-agent-generator,AI Agent Generator,ai-agent-generator,https://chatgpt.com/g/g-688113e552c08191b6178443f971fea0-ai-agent-generator,AI Automation Agency,public,AIBuiltThat.ai,AIBuiltThat.ai,Agent spec generation,promote
gpt-stack-builder,GPT Stack Builder,gpt-stack-builder,https://chatgpt.com/g/g-687729cd579881918d552b97cb33b29e-gpt-stack-builder,AI Automation Agency,public,AIBuiltThat.ai,AIBuiltThat.ai,GPT stack architecture,promote
affiliate-disclosure-writer,Affiliate Disclosure Writer,affiliate-disclosure-writer,https://chatgpt.com/g/g-68399ba0026c8191893369b52300c0b8-affiliate-disclosure-writer,Affiliate Partner Enablement,public,General Utility,Full-Time Hustler,Affiliate disclosure drafting,promote
fix-flip-capital-coach,Fix & Flip Capital Coach,fix-flip-capital-coach,https://chatgpt.com/g/g-684539c579a0819187b6125c7f47e1bd-fix-flip-capital-coach,Funding + Finance,partner-facing,Moonshine Capital,Moonshine Capital,Real estate capital coaching,partner-facing
saas-capital-concierge,SaaS Capital Concierge,saas-capital-concierge,https://chatgpt.com/g/g-683e442ec6848191ac36c7654d40e5dd-saas-capital-concierge,Funding + Finance,public,CapitalStack AI,CapitalStack AI,SaaS funding planning,promote
